prefix,answer_format,rows
CH,plain_number,289
CH,other_numeric,1
CHLT,boolean,20
DDT,plain_number,78
DDT,text_or_formula,26
DDT,scientific_notation,21
DDT,fraction_or_ratio,2
DDT,multi_value,2
DDT,boolean,1
DT,plain_number,39
DT,other_numeric,17
DT,scientific_notation,6
DT,symbolic_sqrt,3
DT,fraction_or_ratio,2
DT,text_or_formula,1
LD,plain_number,201
LD,scientific_notation,193
LD,symbolic_sqrt,4
LD,text_or_formula,1
NL,plain_number,160
NL,text_or_formula,25
NL,fraction_or_ratio,3
NL,multi_value,1
NL,other_numeric,1
QA,missing,401
TD,plain_number,168
TD,text_or_formula,4
TD,multi_value,2
TD,scientific_notation,2
TD,other_numeric,1
THCB,plain_number,39
THCB,multi_value,23
THCB,text_or_formula,18
