domain,topic,rows,share
Electricity and magnetism,Electrostatics,499,0.2843
Electricity and magnetism,AC circuits and resonance,357,0.2034
Electricity and magnetism,Capacitors,332,0.1892
Mechanics,Motion,198,0.1128
Electricity and magnetism,Magnetism and inductors,128,0.0729
Electricity and magnetism,Basic circuits,73,0.0416
Measurement,Measurement and uncertainty,65,0.037
Waves and oscillations,Oscillations and waves,32,0.0182
Optics,Geometric optics,26,0.0148
Electricity and magnetism,Electromagnetic induction,22,0.0125
Mechanics,Energy,11,0.0063
Thermodynamics,Heat and temperature,6,0.0034
Optics,Wave optics,5,0.0028
Data quality,Missing question,1,0.0006
